account_id,account_name,account_description,industry,segment,region,nr_employees,days_to_next_renewal,days_since_last_sales_activity,nr_support_tickets,ai_usage,nr_active_users,nr_licensed_seats,current_revenue,call_transcript_summary,revenue_end_of_quarter
ACC-0037,Quant Cast Global,Develops video streaming infrastructure and content delivery solutions.,Media,Mid-Market,APAC,965,215,55,4,0.485,118,184,71500.67,Check-in was positive but brief. marketing team has embedded the tool in their workflow.,71500.67
ACC-0038,Jade Tutor Systems,Builds virtual classroom tools with real-time collaboration features.,Education,Enterprise,APAC,10847,42,75,4,0.283,739,1778,547358.83,No escalations this quarter. CMO mentioned the team is comfortable with current functionality.,547358.83
ACC-0039,Luma Care Corp,Provides mental health and wellness platforms for employer-sponsored programs.,Healthcare,Enterprise,APAC,43841,150,53,11,0.323,443,1043,1486655.95,Quick check-in — everything running smoothly. Head of Operations is focused on other priorities this quarter.,1486655.95
ACC-0040,Vivid Alloy Systems,Manufactures industrial automation equipment including robotic assembly cells.,Manufacturing,SMB,EMEA,16,138,143,11,0.637,8,14,5804.12,Mid-quarter sync. CTO is happy with support response times. No changes planned.,5804.12
ACC-0041,Prism Cure Ventures,Operates a network of outpatient clinics focused on preventive care.,Healthcare,SMB,APAC,35,152,68,4,0.447,37,49,9822.99,Expansion conversation initiated by CFO. They want analytics suite access for the entire sales org.,14076.47
ACC-0042,Jade Edu Dynamics,Runs a coding bootcamp with both in-person and remote cohort programs.,Education,Mid-Market,NA,587,71,59,1,0.738,38,52,46517.11,Account achieved measurable ROI — Director of Engineering is using this to justify expansion to customer success leadership.,63903.01
ACC-0043,Luma Craft Analytics,Manufactures steel structural components for commercial construction projects.,Manufacturing,SMB,NA,12,142,99,2,0.154,10,22,13215.53,"Account is in maintenance mode. VP of Sales sees us as a reliable tool, not a strategic priority.",13215.53
ACC-0044,Forge Ledger IO,Runs a peer-to-peer lending marketplace for small business loans.,Finance,SMB,NA,74,59,39,3,0.723,35,46,19758.62,New use case identified in HR. CTO requesting scoping call for 16 additional licenses.,24023.02
ACC-0045,Wave Tech Dynamics,Provides edge computing infrastructure for IoT device management.,Technology,Enterprise,EMEA,19616,257,58,2,0.0,1005,1338,1429852.49,CFO mentioned board-level visibility for our product. Planning expansion into HR.,1929314.58
ACC-0046,Velo Play Analytics,Develops augmented reality content creation tools for marketing campaigns.,Media,Mid-Market,NA,1542,171,99,6,0.0,32,77,88572.69,Key stakeholder expressed disappointment during QBR. They expected more impact in marketing.,10414.94
ACC-0047,Velo Deal IO,Manages a marketplace platform connecting independent artisans with consumers.,Retail,Mid-Market,NA,1810,38,65,5,0.311,34,59,28510.45,"Support tickets are low. engineering team uses it daily. Stable relationship, nothing urgent.",28510.45
ACC-0048,Nova Lens Partners,Offers social media management and analytics tools for brand marketers.,Media,Enterprise,APAC,7064,151,3,2,0.0,1442,1949,1741863.49,VP of Sales asked about enterprise pricing tiers. They're planning to double their usage in HR.,2451256.28
ACC-0049,Helix Iron Works,Produces precision-machined components for the aerospace and defense industry.,Manufacturing,SMB,NA,91,253,110,8,0.443,6,18,14153.07,Brief call with COO. Budget is flat for next year. Happy but no plans to expand seats.,14153.07
ACC-0050,Rune Academy Global,Develops AI-powered tutoring assistants for STEM subjects.,Education,Mid-Market,NA,1498,209,106,7,0.0,39,104,45850.26,Budget cuts discussed. The VP of Sales indicated our tool is on the list of potential cost reductions.,0.0
ACC-0051,Flux Brain Corp,Develops AI-powered tutoring assistants for STEM subjects.,Education,Mid-Market,NA,1193,95,0,3,0.586,41,71,30882.2,Champion VP of Sales got promoted and is now pushing adoption across all of finance. Requesting 79 seats.,41690.34
ACC-0052,Jade Gene Studio,Runs clinical trial management services for pharmaceutical companies.,Healthcare,Enterprise,EMEA,24856,245,74,7,0.058,585,1143,948533.71,Check-in was positive but brief. customer success team has embedded the tool in their workflow.,948533.71
ACC-0053,Vertex Capital Labs,Provides real-time risk analytics for derivatives and fixed-income portfolios.,Finance,Enterprise,NA,32891,74,86,4,0.468,533,1073,509178.62,"Account is in maintenance mode. CFO sees us as a reliable tool, not a strategic priority.",509178.62
ACC-0054,Vertex Store Systems,Runs a subscription box service for curated health and wellness products.,Retail,SMB,NA,133,89,95,6,0.01,19,47,13494.64,,3597.59
ACC-0055,Nexus Shelf IO,Specializes in supply chain visibility solutions for fast-moving consumer goods.,Retail,Enterprise,NA,46233,67,73,6,0.378,1495,1809,307615.22,,307615.22
ACC-0056,Velo Code Group,Provides AI-powered cybersecurity monitoring for mid-size companies.,Technology,Mid-Market,APAC,1341,252,72,5,0.0,49,132,87956.95,Product feedback session — they'd like improvements to analytics suite but overall satisfied.,87956.95
ACC-0057,Rapid Shop Ventures,Specializes in supply chain visibility solutions for fast-moving consumer goods.,Retail,Mid-Market,LATAM,1765,202,75,6,0.0,60,79,35611.45,Renewal conversation went smoothly. CFO confirmed they plan to continue at the current level.,35611.45
ACC-0058,Unity Gene Co,Builds pharmacy management software for independent and chain pharmacies.,Healthcare,Mid-Market,EMEA,521,154,55,2,0.544,54,67,41834.7,Exciting call with COO. They want to roll out to sales — requesting 89 additional seats.,60671.33
ACC-0059,Zeta Edu Inc,Provides learning management systems tailored for healthcare continuing education.,Education,Mid-Market,EMEA,472,190,97,3,0.276,55,100,46077.09,Mid-quarter sync. COO is happy with support response times. No changes planned.,46077.09
ACC-0060,Vivid Works HQ,Provides predictive maintenance solutions for heavy industrial equipment.,Manufacturing,Mid-Market,LATAM,1160,92,96,8,0.499,30,68,71880.98,Renewal conversation went smoothly. Director of Engineering confirmed they plan to continue at the current level.,71880.98
ACC-0061,Sage Sound Ventures,Builds audience engagement and subscription monetization tools for publishers.,Media,Enterprise,LATAM,48082,47,41,5,0.413,151,200,746691.18,"Account is in maintenance mode. Head of Operations sees us as a reliable tool, not a strategic priority.",746691.18
ACC-0062,Terra Campus Analytics,Provides student information systems and enrollment management for universities.,Education,Mid-Market,EMEA,318,233,24,2,0.655,116,144,34067.98,Expansion conversation initiated by VP of Sales. They want reporting tool access for the entire sales org.,46746.14
ACC-0063,Sage Capital Platform,Builds open banking APIs enabling fintech integrations for legacy banks.,Finance,SMB,LATAM,196,262,87,3,0.0,6,14,5612.0,,5612.0
ACC-0064,Nexus Sound Hub,Develops video streaming infrastructure and content delivery solutions.,Media,SMB,LATAM,33,38,85,2,0.112,1,5,10527.82,Solid account. engineering uses it consistently. VP of Sales may revisit expansion in Q3.,10527.82
ACC-0065,Wave Fin IO,Runs a peer-to-peer lending marketplace for small business loans.,Finance,SMB,APAC,92,42,180,9,0.059,2,6,6912.92,The Head of Operations mentioned the board is pushing for a 20% software spend reduction across all departments.,0.0
ACC-0066,Titan Asset Hub,Develops fraud detection and compliance monitoring solutions for payments.,Finance,SMB,EMEA,118,164,87,2,0.136,31,49,18531.13,,18531.13
ACC-0067,Crest Reel HQ,Offers social media management and analytics tools for brand marketers.,Media,SMB,NA,46,40,92,2,0.215,7,14,7580.04,Annual review meeting. The account values automation engine but isn't looking to grow usage right now.,7580.04
ACC-0068,Titan Credit Analytics,Runs a peer-to-peer lending marketplace for small business loans.,Finance,Enterprise,NA,42740,203,18,4,0.607,749,981,1704385.74,Routine QBR completed. Account is satisfied with current usage across marketing. No expansion planned.,1704385.74
ACC-0069,Alpha Cyber Dynamics,Develops cloud-based infrastructure tools for enterprise DevOps teams.,Technology,Mid-Market,EMEA,1190,257,65,3,0.697,132,164,30099.31,Competitor Clari ran a demo for their finance team last week. Decision expected before renewal.,0.0
ACC-0070,Mira Cart Systems,Runs a subscription box service for curated health and wellness products.,Retail,Mid-Market,EMEA,1425,97,68,7,0.401,21,42,53338.58,Annual review meeting. The account values Slack integration but isn't looking to grow usage right now.,53338.58
ACC-0071,Sync Edu Works,Offers corporate training and upskilling platforms for Fortune 500 companies.,Education,Mid-Market,EMEA,1624,100,11,1,0.198,159,176,90566.8,,111259.22
ACC-0072,Forge Gene Inc,Builds pharmacy management software for independent and chain pharmacies.,Healthcare,SMB,EMEA,31,238,108,10,0.232,4,9,12337.35,Check-in was positive but brief. marketing team has embedded the tool in their workflow.,12337.35
ACC-0073,Onyx Goods Solutions,Operates a chain of specialty grocery stores with a focus on organic products.,Retail,Mid-Market,EMEA,1011,115,93,5,0.01,17,48,74890.34,,0.0
ACC-0074,Rapid Digital Studio,Operates a cloud-native observability platform for distributed systems.,Technology,SMB,APAC,166,87,106,8,0.084,22,46,10185.85,Routine QBR completed. Account is satisfied with current usage across customer success. No expansion planned.,10185.85
ACC-0075,Ultra Alloy Global,Manufactures industrial automation equipment including robotic assembly cells.,Manufacturing,SMB,NA,41,50,100,1,0.285,4,8,12426.58,Brief call with CFO. Budget is flat for next year. Happy but no plans to expand seats.,12426.58
ACC-0076,Wave Store Networks,Manages a marketplace platform connecting independent artisans with consumers.,Retail,Mid-Market,NA,387,232,98,3,,19,93,84871.9,"Check-in with COO. Steady usage, no complaints. They'll re-evaluate at next renewal cycle.",84871.9
ACC-0077,Velo Trust Labs,Specializes in wealth management software for independent financial advisors.,Finance,SMB,APAC,188,253,55,2,0.521,11,20,17748.15,Quick check-in — everything running smoothly. CTO is focused on other priorities this quarter.,17748.15
ACC-0078,Wave Care Group,Runs clinical trial management services for pharmaceutical companies.,Healthcare,Mid-Market,APAC,1447,48,107,11,0.623,21,69,32601.41,Account is using the platform as expected. customer success adoption is moderate. No new asks.,32601.41
ACC-0079,Spark Shelf Partners,Specializes in supply chain visibility solutions for fast-moving consumer goods.,Retail,SMB,LATAM,2168,223,22,0,0.541,16,63,66536.73,Champion Director of Engineering got promoted and is now pushing adoption across all of finance. Requesting 7 seats.,80233.95
ACC-0080,Prism Frame Hub,Produces specialty chemicals and coatings for semiconductor fabrication.,Manufacturing,Mid-Market,LATAM,1742,68,163,2,0.392,46,70,72809.41,Friendly call. Client appreciates the stability of the platform. No risk signals detected.,72809.41
ACC-0081,Rapid Press Hub,Offers social media management and analytics tools for brand marketers.,Media,Mid-Market,LATAM,1420,63,55,6,0.568,33,45,28909.2,"Check-in with VP of Sales. Steady usage, no complaints. They'll re-evaluate at next renewal cycle.",28909.2
ACC-0082,Wynd Store Inc,Builds retail analytics dashboards tracking foot traffic and conversion rates.,Retail,Mid-Market,NA,935,121,24,0,,31,43,26204.13,Executive sponsor CMO is championing a company-wide expansion. Budget already approved for 67 new seats.,34523.74
ACC-0083,Delta Thera Hub,Develops electronic health record systems for regional hospital networks.,Healthcare,Enterprise,EMEA,39867,135,102,9,0.315,520,1761,1893818.72,Account raised concerns about ROI. They've seen limited adoption across customer success and may not renew.,0.0
ACC-0084,Crest Edu HQ,Provides student information systems and enrollment management for universities.,Education,Mid-Market,NA,1890,235,37,6,0.41,14,28,80805.74,Mid-quarter sync. COO is happy with support response times. No changes planned.,80805.74
ACC-0085,Kova Craft Co,Specializes in injection-molded plastic components for the automotive sector.,Manufacturing,SMB,EMEA,74,198,,2,0.458,29,38,19944.37,Check-in was positive but brief. sales team has embedded the tool in their workflow.,19944.37
ACC-0086,Quant Works Corp,Runs a sheet metal fabrication shop serving HVAC and electrical enclosure markets.,Manufacturing,SMB,LATAM,72,64,70,6,0.0,8,20,7139.16,Quick check-in — everything running smoothly. COO is focused on other priorities this quarter.,7139.16
ACC-0087,Ionic Cloud AI,Provides AI-powered cybersecurity monitoring for mid-size companies.,Technology,Enterprise,NA,15465,170,61,5,0.402,465,960,1727492.84,Expansion conversation initiated by Director of Engineering. They want API access access for the entire customer success org.,2144027.18
ACC-0088,Velo Fund Works,Runs a peer-to-peer lending marketplace for small business loans.,Finance,Mid-Market,EMEA,1592,240,134,7,0.112,76,151,57729.91,Key stakeholder expressed disappointment during QBR. They expected more impact in engineering.,0.0
ACC-0089,Rune Skill Global,Offers corporate training and upskilling platforms for Fortune 500 companies.,Education,Enterprise,NA,37020,189,86,8,0.408,363,564,1481329.91,Friendly call. Client appreciates the stability of the platform. No risk signals detected.,1481329.91
ACC-0090,Helix Brain Global,Develops AI-powered tutoring assistants for STEM subjects.,Education,Enterprise,NA,40137,85,47,5,0.0,1355,1723,859907.34,"Check-in with VP of Sales. Steady usage, no complaints. They'll re-evaluate at next renewal cycle.",859907.34
ACC-0091,Bolt Cart Inc,Offers personalized product recommendation engines for online fashion retailers.,Retail,SMB,NA,82,61,143,6,0.01,16,35,9203.82,Support escalation unresolved for 3 weeks. Client threatened to cancel if automation engine issues aren't fixed.,0.0
ACC-0092,Vivid Brain Inc,Operates a network of language schools with immersive learning methodologies.,Education,Mid-Market,NA,502,139,0,3,0.986,91,106,61992.83,Strong adoption metrics led COO to propose adding 96 seats before end of quarter.,79066.83
ACC-0093,Luma Skill IO,Provides learning management systems tailored for healthcare continuing education.,Education,Mid-Market,LATAM,1799,143,42,2,0.154,120,159,98200.48,"Client is consolidating on our platform, replacing HubSpot. Expected to add 43+ seats.",112645.6
ACC-0094,Bolt Pay Dynamics,Offers automated accounts payable and receivable solutions for mid-market firms.,Finance,Mid-Market,EMEA,1964,115,78,8,0.477,34,99,47385.2,Brief call with VP of Sales. Budget is flat for next year. Happy but no plans to expand seats.,47385.2
ACC-0095,Rune Sound AI,Runs a stock photography and video marketplace for creative professionals.,Media,Enterprise,APAC,44174,56,24,7,0.334,489,809,354389.23,Mid-quarter sync. COO is happy with support response times. No changes planned.,354389.23
ACC-0096,Crest Trust Studio,Offers digital banking infrastructure for community banks and credit unions.,Finance,Mid-Market,APAC,1716,58,62,7,0.374,42,73,26915.79,No escalations this quarter. VP of Sales mentioned the team is comfortable with current functionality.,26915.79
ACC-0097,Astra Care Platform,Runs clinical trial management services for pharmaceutical companies.,Healthcare,SMB,NA,105,157,35,6,0.521,13,24,5012.43,Friendly call. Client appreciates the stability of the platform. No risk signals detected.,5012.43
ACC-0098,Terra Steel Dynamics,Builds custom packaging machinery for food and beverage production lines.,Manufacturing,SMB,NA,24,257,140,7,0.01,7,20,16284.4,Client mentioned they're moving to an in-house solution built by their HR team.,1097.91
ACC-0099,Ultra Iron Systems,Operates contract manufacturing facilities for consumer electronics brands.,Manufacturing,SMB,APAC,97,174,99,3,0.181,8,16,13014.1,Renewal conversation went smoothly. CTO confirmed they plan to continue at the current level.,13014.1
ACC-0100,Ionic Data Platform,Provides AI-powered cybersecurity monitoring for mid-size companies.,Technology,SMB,NA,92,135,100,7,0.167,17,45,12204.73,,12204.73
ACC-0101,Core Tutor Group,Develops adaptive learning software for K-12 school districts.,Education,Mid-Market,LATAM,315,254,69,3,0.437,47,54,47581.3,Client running an internal case study on our impact. VP of Sales plans to use it to expand to HR.,68277.62
ACC-0102,Titan Care Platform,Develops wearable health monitoring devices for chronic disease management.,Healthcare,SMB,NA,89,196,62,4,0.211,22,31,11119.0,Routine QBR completed. Account is satisfied with current usage across HR. No expansion planned.,11119.0
ACC-0103,Spark Campus Solutions,Specializes in early childhood education curriculum and assessment tools.,Education,SMB,APAC,75,203,52,3,0.591,7,11,10042.33,Check-in was positive but brief. finance team has embedded the tool in their workflow.,10042.33
ACC-0104,Vivid Stack Hub,Builds developer productivity platforms with integrated CI/CD pipelines.,Technology,SMB,APAC,45,168,116,6,0.395,13,29,6811.99,Routine QBR completed. Account is satisfied with current usage across operations. No expansion planned.,6811.99
ACC-0105,Zeta Academy HQ,Provides learning management systems tailored for healthcare continuing education.,Education,SMB,NA,193,213,107,8,0.14,13,32,3262.88,Routine QBR completed. Account is satisfied with current usage across sales. No expansion planned.,3262.88
ACC-0106,Crest Mentor Labs,Specializes in early childhood education curriculum and assessment tools.,Education,SMB,NA,155,150,87,3,0.364,13,20,16476.98,Mid-quarter sync. Head of Operations is happy with support response times. No changes planned.,16476.98
ACC-0107,Mira Scholar Co,Develops AI-powered tutoring assistants for STEM subjects.,Education,SMB,LATAM,57,179,55,3,0.366,12,16,12893.18,Annual review meeting. The account values analytics suite but isn't looking to grow usage right now.,12893.18
ACC-0108,Rune Mill IO,Runs a sheet metal fabrication shop serving HVAC and electrical enclosure markets.,Manufacturing,Enterprise,NA,39153,178,81,4,0.232,328,879,701274.27,"Check-in with VP of Sales. Steady usage, no complaints. They'll re-evaluate at next renewal cycle.",701274.27
ACC-0109,Ultra Store Partners,Builds retail analytics dashboards tracking foot traffic and conversion rates.,Retail,SMB,EMEA,86,211,24,0,0.0,36,46,8178.71,CFO mentioned board-level visibility for our product. Planning expansion into customer success.,9785.82
ACC-0110,Luma Build Works,Manufactures industrial automation equipment including robotic assembly cells.,Manufacturing,Mid-Market,EMEA,1348,246,104,4,0.23,35,62,92744.11,Mid-quarter sync. VP of Sales is happy with support response times. No changes planned.,92744.11
ACC-0111,Crest Gene IO,Develops wearable health monitoring devices for chronic disease management.,Healthcare,Mid-Market,NA,884,100,37,10,0.0,102,154,74543.98,No escalations this quarter. Director of Engineering mentioned the team is comfortable with current functionality.,74543.98
ACC-0112,Terra Brain Solutions,Runs a coding bootcamp with both in-person and remote cohort programs.,Education,SMB,APAC,45,198,78,4,0.242,4,7,4361.69,Solid account. marketing uses it consistently. CMO may revisit expansion in Q3.,4361.69
ACC-0113,Lynx Style IO,Offers personalized product recommendation engines for online fashion retailers.,Retail,SMB,APAC,65,37,70,4,0.316,26,33,5769.79,Solid account. sales uses it consistently. Director of Engineering may revisit expansion in Q3.,5769.79
ACC-0114,Vivid Store Ventures,Specializes in supply chain visibility solutions for fast-moving consumer goods.,Retail,SMB,NA,13,158,58,2,0.551,9,15,16024.49,Check-in was positive but brief. sales team has embedded the tool in their workflow.,16024.49
ACC-0115,Crest Cart Corp,Specializes in supply chain visibility solutions for fast-moving consumer goods.,Retail,Mid-Market,APAC,857,246,15,4,0.32,49,71,25726.98,Brief call with CTO. Budget is flat for next year. Happy but no plans to expand seats.,25726.98
ACC-0116,Spark Cart Works,Offers personalized product recommendation engines for online fashion retailers.,Retail,SMB,NA,52,185,48,6,0.594,3,6,9977.2,Mid-quarter sync. COO is happy with support response times. No changes planned.,9977.2
ACC-0117,Orbit Logic Inc,Builds machine learning operations tooling for data science teams.,Technology,SMB,NA,120,94,62,6,0.634,22,32,17639.93,Strong adoption metrics led Director of Engineering to propose adding 14 seats before end of quarter.,25424.21
ACC-0118,Alpha Data Works,Provides AI-powered cybersecurity monitoring for mid-size companies.,Technology,Mid-Market,EMEA,1852,176,67,3,0.292,27,39,35733.83,Brief call with Head of Operations. Budget is flat for next year. Happy but no plans to expand seats.,35733.83
ACC-0119,Onyx Gene Analytics,Operates a network of outpatient clinics focused on preventive care.,Healthcare,Enterprise,LATAM,13923,116,3,2,0.518,832,1106,791805.89,Client saw great results in marketing and wants to extend to two more teams. Discussing 198 seat add-on.,1099110.89
ACC-0120,Lynx Tech Co,Develops cloud-based infrastructure tools for enterprise DevOps teams.,Technology,Enterprise,NA,11340,134,72,2,0.0,629,1016,1855836.83,Account mentioned considering API access upgrades but not until next fiscal year.,1855836.83
ACC-0121,Ionic Shelf Partners,Builds retail analytics dashboards tracking foot traffic and conversion rates.,Retail,SMB,NA,50,84,128,10,0.0,8,29,9472.17,The CMO mentioned the board is pushing for a 20% software spend reduction across all departments.,2534.36
ACC-0122,Sage Forge Group,Provides predictive maintenance solutions for heavy industrial equipment.,Manufacturing,Mid-Market,EMEA,1338,180,122,1,0.618,111,198,25217.25,"Check-in with Director of Engineering. Steady usage, no complaints. They'll re-evaluate at next renewal cycle.",25217.25
